id_tag,tag
403,Hentai
404,Trivia
405,Clicker
406,Job Simulator
407,Outbreak Sim
408,Cycling
409,Automation
410,Silent Protagonist
411,Auto Battler
412,Fishing
413,Snowboarding
414,Cozy
415,Wholesome
416,Boxing
417,Hero Shooter
418,Foreign
419,Combat Racing
420,Faith
421,Social Deduction
422,Hobby Sim
423,Idler
424,NSFW
425,Instrumental Music
426,Tennis
427,Bowling
428,Submarine
429,Fox
430,360 Video
431,Ambient
432,Baseball
433,8-bit Music
434,Asymmetric VR
435,Electronic
436,BMX
437,ATV
438,Hockey
439,Steam Machine
440,Mahjong
441,Hardware
442,Boss Rush
443,Lara Croft
444,Coding
445,Philisophical
446,Musou
447,Shop Keeper
448,Tile-Matching
449,Volleyball
