id_app,id_genre
235585,0
235600,1
235600,2
235620,3
235620,4
235620,0
235660,4
235660,0
235720,1
235720,4
235720,0
235780,1
235780,2
235800,4
235820,1
235820,4
235883,1
235883,5
235883,6
235883,7
235883,0
235920,0
235940,0
235960,1
235960,8
235980,3
235980,4
236010,3
236010,4
236090,1
236090,2
236090,4
236090,7
236130,4
236130,0
236150,1
236150,7
236150,8
236290,3
234785,1
234786,1
234787,1
234788,1
234789,1
234790,1
234791,1
234792,1
234793,1
234794,1
234860,1
234860,8
234860,0
234880,1
234880,8
234880,0
234900,1
234900,2
234900,4
234920,2
234920,3
234920,4
234920,8
234940,2
234940,3
234940,4
234980,4
234980,7
235070,1
235070,4
235130,1
235130,0
235130,4
235140,1
235140,4
235140,0
235150,1
235150,0
235150,4
235210,1
235210,2
235230,0
235250,3
235250,4
235250,0
235320,4
235320,0
235360,3
235360,4
235360,7
235360,0
235380,0
235460,1
235520,4
235520,0
235540,1
235540,4
235580,0
235584,0
234370,1
234370,2
234370,4
234390,1
234390,4
234490,1
234490,4
234490,9
234510,1
234530,1
234570,1
234570,3
234570,4
234570,9
234570,8
234650,2
234650,4
234650,7
234650,0
234670,1
234670,2
234690,1
234690,5
234690,6
234690,7
234710,3
234710,10
234770,1
234771,1
234772,1
234773,1
234774,1
234775,1
234776,1
234777,1
234778,1
234779,1
234780,1
234781,1
234782,1
234783,1
234784,1
233550,1
233550,2
233590,4
233590,7
233590,0
233591,4
233591,7
233591,0
233592,4
233592,7
233592,0
233610,1
233610,4
233610,9
233630,1
233630,5
233630,7
233680,11
233680,12
233680,13
233680,14
233710,3
233710,4
233710,7
233710,0
233720,1
233720,4
233720,8
233740,4
233740,0
233840,0
233920,1
233940,1
233980,1
233980,4
233980,7
234000,1
234021,5
234021,4
234021,7
234021,0
234022,5
234022,4
234022,7
234022,0
234023,5
234023,4
234023,7
234023,0
234024,5
234024,4
234024,7
234024,0
234040,1
234040,5
234040,4
234060,0
234080,1
234080,2
234140,1
234140,2
234160,1
234160,4
234210,1
234230,1
234250,1
234270,2
234270,3
234270,4
234290,1
234290,2
234290,4
234310,1
234310,5
234310,6
234310,0
234350,3
232647,1
232670,3
232770,1
232770,4
232790,2
232790,3
232790,4
232810,4
232810,8
232810,0
232810,15
232830,10
232830,11
232830,12
232830,16
232830,17
232830,14
232830,18
232890,8
232890,0
232910,9
232910,10
232950,8
232970,1
232970,3
232970,4
232990,1
232990,3
232990,4
233010,1
233010,2
233010,4
233050,1
233070,9
233070,10
233110,4
233110,0
233130,1
233130,2
233190,1
233190,4
233210,1
233210,8
233230,2
233230,4
233250,0
233270,1
233270,2
233290,1
233290,2
233290,7
233310,4
233310,7
233310,0
233350,1
233350,2
233350,7
233370,2
233410,1
233450,4
233450,8
233450,0
233470,2
233470,4
233470,7
233510,3
233510,4
233530,1
233530,4
232010,4
232010,8
232050,4
232050,7
232050,0
232090,1
232191,1
232430,2
232430,4
232450,3
232450,5
232450,7
232450,0
232530,1
232530,2
232550,1
232550,2
232570,1
232570,2
232590,1
232590,2
232634,1
231504,0
231505,0
231506,0
231507,0
231670,8
231670,10
231720,3
231720,4
231740,4
231740,7
231801,1
231801,2
231801,4
231910,1
231910,2
231910,3
231990,1
231430,0
231453,0
231454,0
231455,0
231456,0
231457,0
231458,0
231459,0
231460,0
231461,0
231462,0
231463,0
231464,0
231465,0
231466,0
231467,0
231468,0
231469,0
231470,0
231471,0
231472,0
231473,0
231474,0
231475,0
231476,0
231477,0
231478,0
231479,0
231480,0
231481,0
231482,0
231483,0
231484,0
231485,0
231486,0
231487,0
231488,0
231489,0
231490,0
231491,0
231492,0
230692,4
230692,8
230692,10
230692,0
230700,1
230700,2
230700,4
230760,3
230760,4
230780,12
230780,16
230780,14
230820,2
230820,4
230840,1
230840,2
230840,3
230840,4
230880,1
230880,4
230880,0
230882,1
230882,4
230882,0
230883,1
230883,4
230883,0
230884,1
230884,4
230884,0
230885,1
230885,4
230885,0
230886,1
230886,4
230886,0
230887,1
230887,4
230887,0
230888,1
230888,4
230888,0
230889,1
230889,4
230889,0
230890,1
230890,4
230890,0
230891,1
230891,4
230891,0
230892,1
230892,4
230892,0
230900,0
230920,0
230940,1
230980,2
230980,4
231020,4
231020,8
231040,1
231040,2
231040,3
231040,4
231060,5
231060,6
231060,7
231120,8
231140,8
231160,1
231160,2
231160,4
231180,12
231200,2
231200,4
231310,2
231310,4
231330,1
231330,2
231350,14
229790,7
229790,0
229810,1
229810,4
229870,1
229890,1
229890,3
229890,4
229890,9
229950,14
229970,4
229970,0
230050,4
230210,2
230210,4
230230,2
230230,4
230230,7
230230,0
230270,1
230330,6
230410,1
230410,5
230410,7
230650,4
230650,8
230650,10
230650,0
230690,4
230690,8
230690,10
230690,0
230691,4
230691,8
230691,10
230691,0
229190,1
229210,1
